epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3197.77,1.23802,0.92819,1.41328,0.86265,0.85553,0.90283,0.54311,1.35485,0.76883,1.57683,0.005842,0.005842,0.005842
44,3271.87,1.23109,0.91785,1.40442,0.88681,0.803,0.88986,0.55005,1.338,0.76096,1.56769,0.005743,0.005743,0.005743
45,3345.83,1.21809,0.92293,1.39455,0.88417,0.85178,0.89897,0.55514,1.32151,0.74829,1.5583,0.005644,0.005644,0.005644
46,3419.81,1.21696,0.91335,1.39711,0.89062,0.82364,0.88723,0.55266,1.32348,0.77603,1.56694,0.005545,0.005545,0.005545
47,3494.09,1.21579,0.91086,1.39267,0.88455,0.82927,0.88857,0.54739,1.31103,0.75619,1.55334,0.005446,0.005446,0.005446
48,3568.19,1.193,0.88423,1.37614,0.8917,0.80325,0.89635,0.55532,1.31779,0.74696,1.55924,0.005347,0.005347,0.005347
49,3642.15,1.19885,0.88121,1.38103,0.84719,0.84428,0.89199,0.55451,1.3226,0.76179,1.55469,0.005248,0.005248,0.005248
50,3716.21,1.19273,0.87093,1.37419,0.86716,0.83302,0.89028,0.55669,1.30117,0.75452,1.54263,0.005149,0.005149,0.005149
51,3790.24,1.17752,0.87126,1.36525,0.89754,0.83822,0.89828,0.55465,1.31482,0.75436,1.56226,0.00505,0.00505,0.00505
52,3864.02,1.17583,0.86642,1.36428,0.86076,0.84053,0.88562,0.55599,1.29779,0.76183,1.54063,0.004951,0.004951,0.004951
53,3938.49,1.17326,0.85783,1.35998,0.87657,0.84428,0.88701,0.55612,1.29351,0.74701,1.54078,0.004852,0.004852,0.004852
54,4012.62,1.16329,0.8495,1.35671,0.85846,0.85345,0.88503,0.56075,1.28244,0.73524,1.54004,0.004753,0.004753,0.004753
55,4086.48,1.14591,0.83247,1.34299,0.85973,0.84615,0.88985,0.56606,1.28354,0.73029,1.53846,0.004654,0.004654,0.004654
56,4160.18,1.15102,0.83774,1.35263,0.87918,0.84053,0.89578,0.56459,1.27937,0.72767,1.53294,0.004555,0.004555,0.004555
