epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8257.98,0.95231,0.66754,1.29914,0.88347,0.83925,0.89731,0.59997,1.18403,0.63468,1.56613,0.005842,0.005842,0.005842
44,8432.89,0.95225,0.66924,1.29723,0.86583,0.85366,0.8988,0.60891,1.1604,0.6369,1.55465,0.005743,0.005743,0.005743
45,8609.59,0.93949,0.65687,1.28847,0.88463,0.8349,0.90693,0.61052,1.16733,0.63696,1.55339,0.005644,0.005644,0.005644
46,8786.62,0.92883,0.64376,1.28096,0.86956,0.86297,0.89557,0.60891,1.15589,0.61679,1.55547,0.005545,0.005545,0.005545
47,8961.54,0.91406,0.6374,1.28081,0.89064,0.84038,0.90573,0.61254,1.15879,0.61741,1.57324,0.005446,0.005446,0.005446
48,9138.07,0.90528,0.63245,1.26219,0.88813,0.85178,0.908,0.61779,1.16925,0.62314,1.5577,0.005347,0.005347,0.005347
49,9314.91,0.89533,0.62279,1.25729,0.89196,0.85194,0.9023,0.61741,1.14671,0.60694,1.55651,0.005248,0.005248,0.005248
50,9490.09,0.88639,0.60968,1.24572,0.87947,0.85929,0.89971,0.62345,1.13527,0.61208,1.53396,0.005149,0.005149,0.005149
51,9666.32,0.86978,0.59818,1.2433,0.88425,0.85178,0.90734,0.62325,1.12899,0.60973,1.53617,0.00505,0.00505,0.00505
52,9843.38,0.86453,0.59071,1.24008,0.8569,0.88368,0.91055,0.63739,1.1155,0.59716,1.53059,0.004951,0.004951,0.004951
53,10020.3,0.85434,0.58413,1.23528,0.90533,0.86126,0.90998,0.63854,1.09974,0.57577,1.52794,0.004852,0.004852,0.004852
54,10197,0.84743,0.57844,1.23424,0.90374,0.85741,0.91287,0.64639,1.10513,0.57846,1.53053,0.004753,0.004753,0.004753
55,10373.8,0.8294,0.56865,1.21849,0.89,0.86492,0.90889,0.64308,1.10563,0.58905,1.5405,0.004654,0.004654,0.004654
56,10548.9,0.83057,0.5706,1.22124,0.8989,0.86304,0.91506,0.64642,1.08549,0.56395,1.52266,0.004555,0.004555,0.004555
57,10725.5,0.82198,0.56105,1.21411,0.88039,0.87805,0.90841,0.64437,1.09622,0.56352,1.53776,0.004456,0.004456,0.004456
58,10900.5,0.81321,0.55181,1.2076,0.89062,0.8555,0.90479,0.64728,1.095,0.56919,1.53771,0.004357,0.004357,0.004357
59,11075.6,0.79452,0.53753,1.19432,0.87608,0.8622,0.90679,0.64929,1.08085,0.58416,1.52046,0.004258,0.004258,0.004258
60,11252.5,0.79193,0.54095,1.19553,0.88638,0.87054,0.90985,0.6531,1.06511,0.57855,1.51266,0.004159,0.004159,0.004159
61,11429.5,0.78679,0.5243,1.1853,0.8858,0.85864,0.89491,0.64709,1.06507,0.58522,1.50748,0.00406,0.00406,0.00406
62,11605.2,0.77361,0.52695,1.18106,0.87155,0.85741,0.89185,0.64911,1.05987,0.5848,1.50958,0.003961,0.003961,0.003961
63,11780.8,0.77175,0.52809,1.17833,0.89076,0.85669,0.89716,0.65027,1.06642,0.57444,1.52242,0.003862,0.003862,0.003862
64,11956.2,0.75885,0.51238,1.16925,0.89535,0.86676,0.90093,0.65147,1.06857,0.58017,1.53104,0.003763,0.003763,0.003763
65,12131.1,0.75282,0.50706,1.16258,0.88028,0.85553,0.90004,0.64726,1.07326,0.58858,1.53762,0.003664,0.003664,0.003664
66,12306.8,0.74868,0.50034,1.15333,0.89611,0.84153,0.89626,0.64474,1.07756,0.59718,1.5437,0.003565,0.003565,0.003565
67,12482.5,0.73498,0.49341,1.14957,0.88457,0.84829,0.89458,0.64418,1.07892,0.60361,1.5455,0.003466,0.003466,0.003466
68,12658.1,0.72817,0.49124,1.1478,0.89099,0.85741,0.89819,0.6487,1.07273,0.60208,1.54844,0.003367,0.003367,0.003367
69,12833.1,0.71945,0.48056,1.13752,0.88758,0.84428,0.88936,0.64823,1.0688,0.61087,1.55173,0.003268,0.003268,0.003268
70,13008.5,0.70852,0.47428,1.12761,0.87918,0.85929,0.89258,0.65319,1.06816,0.60582,1.5554,0.003169,0.003169,0.003169
71,13183.9,0.70475,0.46973,1.12858,0.87961,0.86359,0.89315,0.65127,1.07534,0.60227,1.56843,0.00307,0.00307,0.00307
72,13359.7,0.69794,0.47015,1.11822,0.89008,0.85741,0.89543,0.65089,1.07259,0.60294,1.57138,0.002971,0.002971,0.002971
73,13535.1,0.68761,0.4655,1.10931,0.89072,0.86492,0.8977,0.65215,1.06836,0.60115,1.56646,0.002872,0.002872,0.002872
74,13710.4,0.68217,0.45292,1.11225,0.88832,0.86492,0.89501,0.65059,1.06479,0.60909,1.56485,0.002773,0.002773,0.002773
75,13885.9,0.67603,0.4554,1.11108,0.88444,0.87592,0.89611,0.65518,1.06749,0.60712,1.56875,0.002674,0.002674,0.002674
76,14063,0.66673,0.44704,1.10645,0.88833,0.86563,0.89802,0.65484,1.06158,0.60153,1.56198,0.002575,0.002575,0.002575
77,14238.3,0.65631,0.43936,1.10051,0.87165,0.87992,0.89793,0.65762,1.05963,0.59754,1.56624,0.002476,0.002476,0.002476
78,14415.2,0.65365,0.43574,1.09443,0.89469,0.85366,0.8972,0.65823,1.05815,0.5975,1.56785,0.002377,0.002377,0.002377
79,14591.9,0.64087,0.43173,1.09203,0.86321,0.87616,0.89791,0.659,1.06455,0.58866,1.57902,0.002278,0.002278,0.002278
80,14768.8,0.63607,0.43336,1.08985,0.88039,0.86304,0.89689,0.65758,1.06607,0.58302,1.58306,0.002179,0.002179,0.002179
81,14944.2,0.62603,0.4197,1.08014,0.8837,0.85929,0.89738,0.65916,1.06371,0.58686,1.58526,0.00208,0.00208,0.00208
