epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5478.49,0.98221,0.67499,1.28378,0.87635,0.84615,0.89719,0.59562,1.20603,0.64248,1.53814,0.005842,0.005842,0.005842
44,5604.46,0.96957,0.66075,1.27339,0.83402,0.8818,0.9067,0.60328,1.20672,0.64084,1.5607,0.005743,0.005743,0.005743
45,5732.5,0.9525,0.66107,1.26221,0.87611,0.84428,0.90254,0.61476,1.17891,0.61757,1.544,0.005644,0.005644,0.005644
46,5860.51,0.95287,0.65402,1.26087,0.8936,0.85092,0.90545,0.61384,1.15177,0.61784,1.51703,0.005545,0.005545,0.005545
47,5986.7,0.95095,0.65556,1.26882,0.88793,0.8349,0.89703,0.61413,1.17278,0.6262,1.54166,0.005446,0.005446,0.005446
48,6112.65,0.92866,0.63443,1.25215,0.89898,0.83485,0.89904,0.60726,1.17575,0.63001,1.54592,0.005347,0.005347,0.005347
49,6238.56,0.92619,0.63065,1.24734,0.89003,0.83677,0.90394,0.61711,1.14655,0.62531,1.51793,0.005248,0.005248,0.005248
50,6366.8,0.91099,0.61877,1.23604,0.88396,0.8349,0.89967,0.61702,1.13015,0.61935,1.51145,0.005149,0.005149,0.005149
51,6492.57,0.89601,0.61573,1.23458,0.86351,0.85464,0.90001,0.62009,1.14063,0.61226,1.53157,0.00505,0.00505,0.00505
52,6620.81,0.88689,0.60929,1.22478,0.89814,0.8424,0.90769,0.62978,1.12174,0.6047,1.52114,0.004951,0.004951,0.004951
53,6748.49,0.88699,0.60042,1.21627,0.8851,0.85929,0.91246,0.62426,1.14328,0.6128,1.52419,0.004852,0.004852,0.004852
54,6874.47,0.8764,0.60039,1.2097,0.9003,0.83018,0.90085,0.62659,1.13098,0.60072,1.5185,0.004753,0.004753,0.004753
55,7000.86,0.86007,0.58279,1.20821,0.87193,0.86116,0.90198,0.62931,1.13118,0.60279,1.53131,0.004654,0.004654,0.004654
56,7126.84,0.86346,0.58074,1.20601,0.87633,0.84991,0.89574,0.62812,1.12997,0.61272,1.52921,0.004555,0.004555,0.004555
57,7253.06,0.85048,0.57915,1.19496,0.88508,0.85741,0.90083,0.63397,1.11534,0.59888,1.52229,0.004456,0.004456,0.004456
58,7380.79,0.84376,0.56828,1.18907,0.88094,0.86492,0.90204,0.63416,1.12228,0.59468,1.52694,0.004357,0.004357,0.004357
59,7508.75,0.83299,0.56119,1.17973,0.87395,0.85852,0.89523,0.63035,1.11938,0.60382,1.52767,0.004258,0.004258,0.004258
60,7635.16,0.82173,0.55233,1.17475,0.88729,0.85669,0.8975,0.63251,1.10291,0.60934,1.5235,0.004159,0.004159,0.004159
61,7761.15,0.81228,0.54261,1.16863,0.87893,0.85806,0.89923,0.63542,1.10225,0.61078,1.52134,0.00406,0.00406,0.00406
62,7889.34,0.81656,0.54961,1.17208,0.89443,0.84053,0.90262,0.63637,1.09908,0.60071,1.51904,0.003961,0.003961,0.003961
63,8017.19,0.79232,0.53745,1.16395,0.90011,0.84529,0.90298,0.64006,1.10457,0.59286,1.53481,0.003862,0.003862,0.003862
64,8145.13,0.79368,0.53225,1.15844,0.89432,0.84149,0.90135,0.63706,1.09784,0.5937,1.53409,0.003763,0.003763,0.003763
65,8271.23,0.78227,0.52001,1.15183,0.89359,0.83503,0.90313,0.6406,1.09243,0.5917,1.53041,0.003664,0.003664,0.003664
66,8399.03,0.78115,0.52154,1.15245,0.90017,0.82927,0.90451,0.644,1.08953,0.58809,1.52894,0.003565,0.003565,0.003565
67,8525.65,0.76408,0.51226,1.14196,0.90684,0.83302,0.90512,0.64567,1.087,0.58233,1.52964,0.003466,0.003466,0.003466
68,8653.5,0.76522,0.51342,1.14351,0.90809,0.83865,0.90416,0.64542,1.08325,0.58292,1.52719,0.003367,0.003367,0.003367
69,8779.46,0.74908,0.50256,1.13744,0.90016,0.84577,0.90398,0.64624,1.07655,0.58965,1.52308,0.003268,0.003268,0.003268
70,8907.62,0.74899,0.50393,1.14111,0.89737,0.85302,0.9034,0.64584,1.07396,0.58207,1.53082,0.003169,0.003169,0.003169
71,9033.51,0.73892,0.49984,1.13196,0.89912,0.85286,0.90187,0.65091,1.06925,0.58424,1.53386,0.00307,0.00307,0.00307
72,9161.9,0.73185,0.48813,1.12887,0.90383,0.84633,0.90223,0.65391,1.06885,0.57845,1.53907,0.002971,0.002971,0.002971
73,9289.98,0.72753,0.47937,1.12592,0.90503,0.84991,0.89964,0.6527,1.07003,0.58158,1.54139,0.002872,0.002872,0.002872
74,9415.71,0.71532,0.47917,1.11667,0.89668,0.84428,0.89796,0.65129,1.07087,0.58535,1.54265,0.002773,0.002773,0.002773
75,9542.1,0.70856,0.48032,1.10793,0.89656,0.83865,0.89436,0.65171,1.06069,0.58636,1.53477,0.002674,0.002674,0.002674
76,9667.98,0.70198,0.47021,1.10816,0.89996,0.83677,0.89473,0.65258,1.05694,0.59187,1.53253,0.002575,0.002575,0.002575
77,9794.38,0.69497,0.46755,1.10054,0.90267,0.8349,0.89352,0.64945,1.06099,0.59509,1.53633,0.002476,0.002476,0.002476
78,9920.42,0.68517,0.46228,1.0955,0.89738,0.8424,0.89506,0.65178,1.05629,0.5915,1.53442,0.002377,0.002377,0.002377
79,10046.6,0.67829,0.45353,1.0913,0.90209,0.84428,0.89522,0.65312,1.05499,0.58975,1.53462,0.002278,0.002278,0.002278
80,10172.8,0.67676,0.45004,1.09035,0.90077,0.84428,0.89503,0.65237,1.05511,0.58923,1.5357,0.002179,0.002179,0.002179
81,10298.8,0.67018,0.44677,1.08932,0.90523,0.84231,0.89491,0.65482,1.0575,0.58996,1.53885,0.00208,0.00208,0.00208
82,10427.4,0.66304,0.44292,1.0833,0.90849,0.83814,0.89646,0.6574,1.06109,0.58428,1.54276,0.001981,0.001981,0.001981
