epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3679.14,1.07399,0.75485,1.30674,0.8661,0.85741,0.90143,0.57248,1.26926,0.70193,1.54547,0.005842,0.005842,0.005842
44,3763.98,1.06283,0.74378,1.2954,0.85061,0.87054,0.89955,0.58386,1.25053,0.68364,1.53382,0.005743,0.005743,0.005743
45,3849.95,1.05585,0.74289,1.28461,0.90317,0.83998,0.90247,0.59356,1.24152,0.68403,1.5226,0.005644,0.005644,0.005644
46,3936.1,1.04868,0.72897,1.27867,0.85612,0.85963,0.8952,0.59064,1.22175,0.66879,1.50289,0.005545,0.005545,0.005545
47,4021.09,1.04661,0.73689,1.28121,0.89616,0.84194,0.8944,0.5968,1.23042,0.67417,1.50867,0.005446,0.005446,0.005446
48,4107.09,1.0249,0.71518,1.26981,0.89199,0.86766,0.90442,0.59204,1.21809,0.66284,1.50211,0.005347,0.005347,0.005347
49,4191.69,1.02285,0.70505,1.27008,0.90643,0.836,0.89116,0.5876,1.22795,0.67351,1.52049,0.005248,0.005248,0.005248
50,4276.7,1.01256,0.69939,1.26118,0.89254,0.85708,0.89535,0.58946,1.24344,0.65039,1.53753,0.005149,0.005149,0.005149
51,4361.57,0.99834,0.69047,1.24887,0.90276,0.83608,0.89807,0.59794,1.20627,0.64756,1.5152,0.00505,0.00505,0.00505
52,4448.16,0.98952,0.69175,1.24742,0.87101,0.86151,0.8969,0.59871,1.21314,0.64823,1.52364,0.004951,0.004951,0.004951
53,4534.08,0.99115,0.68438,1.24611,0.87885,0.83302,0.88945,0.5951,1.2112,0.6705,1.51965,0.004852,0.004852,0.004852
54,4618.97,0.97885,0.67633,1.23729,0.85525,0.85741,0.89157,0.60191,1.1951,0.66062,1.50266,0.004753,0.004753,0.004753
55,4705.17,0.96103,0.65308,1.22494,0.89342,0.84931,0.9028,0.60364,1.20231,0.66061,1.50784,0.004654,0.004654,0.004654
56,4791.31,0.96518,0.66375,1.23092,0.90239,0.83253,0.89579,0.60156,1.19491,0.67917,1.49617,0.004555,0.004555,0.004555
57,4876.32,0.95426,0.65348,1.22244,0.88061,0.84416,0.88682,0.60406,1.18863,0.67468,1.49671,0.004456,0.004456,0.004456
58,4961.42,0.94113,0.64489,1.21298,0.90387,0.84053,0.8958,0.60359,1.18752,0.67509,1.49547,0.004357,0.004357,0.004357
59,5046.32,0.93235,0.6356,1.20978,0.88174,0.85334,0.89276,0.60603,1.18366,0.6612,1.49813,0.004258,0.004258,0.004258
60,5132.44,0.92947,0.62967,1.20419,0.91843,0.81426,0.89133,0.60422,1.18555,0.65529,1.50118,0.004159,0.004159,0.004159
61,5217.35,0.91089,0.61538,1.19404,0.87737,0.83224,0.88952,0.60722,1.17729,0.66575,1.498,0.00406,0.00406,0.00406
62,5303.71,0.92067,0.62571,1.20148,0.87653,0.83913,0.89004,0.60971,1.16812,0.66197,1.50006,0.003961,0.003961,0.003961
63,5389.89,0.89955,0.61239,1.19292,0.86785,0.8625,0.89509,0.61486,1.15731,0.65632,1.49164,0.003862,0.003862,0.003862
64,5476.13,0.89474,0.6055,1.18721,0.87449,0.86276,0.89197,0.61366,1.15074,0.65687,1.48503,0.003763,0.003763,0.003763
65,5561.1,0.89344,0.59909,1.18519,0.871,0.87054,0.89604,0.61515,1.15172,0.6391,1.48743,0.003664,0.003664,0.003664
66,5647.47,0.88969,0.59879,1.18133,0.86246,0.87061,0.89493,0.6179,1.15004,0.63208,1.48917,0.003565,0.003565,0.003565
67,5733.58,0.87924,0.59363,1.17729,0.89797,0.84053,0.89752,0.62172,1.14724,0.62752,1.48571,0.003466,0.003466,0.003466
68,5819.85,0.87543,0.59254,1.17398,0.90299,0.82739,0.89544,0.62525,1.148,0.63093,1.4901,0.003367,0.003367,0.003367
69,5906.18,0.85957,0.57752,1.16607,0.91311,0.83114,0.89505,0.62532,1.1482,0.63188,1.49065,0.003268,0.003268,0.003268
70,5992.32,0.85409,0.5793,1.1633,0.91837,0.8232,0.89678,0.62237,1.15356,0.63678,1.49409,0.003169,0.003169,0.003169
71,6077.49,0.84994,0.5809,1.15831,0.9035,0.83677,0.89829,0.62305,1.15163,0.63483,1.49419,0.00307,0.00307,0.00307
72,6162.5,0.84241,0.56209,1.15743,0.91376,0.83492,0.89755,0.62176,1.15313,0.6341,1.4991,0.002971,0.002971,0.002971
73,6247.39,0.83459,0.55584,1.1526,0.911,0.83865,0.89977,0.62553,1.14538,0.63132,1.49185,0.002872,0.002872,0.002872
74,6333.04,0.8236,0.55421,1.14411,0.90855,0.83865,0.89781,0.62976,1.1353,0.63391,1.48415,0.002773,0.002773,0.002773
75,6419.12,0.82094,0.55478,1.14015,0.89167,0.85929,0.89966,0.6298,1.13028,0.63671,1.48114,0.002674,0.002674,0.002674
76,6505.15,0.81163,0.54945,1.14087,0.89946,0.84428,0.89722,0.62811,1.12626,0.64051,1.47985,0.002575,0.002575,0.002575
77,6590.32,0.80616,0.54356,1.13326,0.90009,0.84053,0.89682,0.6287,1.12426,0.64424,1.48111,0.002476,0.002476,0.002476
78,6675.38,0.79547,0.5393,1.12877,0.89362,0.84428,0.89579,0.63035,1.1237,0.63839,1.48295,0.002377,0.002377,0.002377
79,6761.54,0.78965,0.53172,1.12555,0.8873,0.85366,0.89699,0.63252,1.12327,0.63516,1.48538,0.002278,0.002278,0.002278
